LATITUDE,LONGITUDE,PROFUNDIDADE,TEMPERATURA,N_AVISTAMENTO,PESO_MEDIO,ESPECIE
71.1,22.43,349,3.95,22,270.24104680219,1
71.32,23.68,382,3.75,13,291.175898701496,1
71.6,24.9,294,3.45,43,279.234163676134,1
71.27,25.88,304,3.65,30,316.158194248574,1
71.52,28.12,384,3.35,38,310.739427325614,1
71.48,29.1,344,3.65,42,305.191097563192,1
71.1,29.92,347,3.55,46,321.756418620428,1
71.03,30.87,300,3.85,31,286.646848777605,1
71.32,31.2,260,2.95,35,321.367283481699,1
71.3,32.15,256,3.35,33,305.580918372654,1
71.22,33.15,254,2.55,40,263.011597574679,1
71.58,32.37,297,2.65,25,284.921998132748,1
71.68,31.25,332,2.85,49,315.790494014507,1
71.72,30.77,358,1.95,43,292.464779788172,1
72.02,31.67,320,1.65,31,262.027408225591,1
72.25,32.93,285,1.25,25,305.671397345686,1
72.45,34.32,285,0.15,40,288.349124380644,1
72.72,35.6,234,0.65,39,288.242394264474,1
72.83,34.58,228,0.55,21,291.995073641649,1
72.9,33.33,227,0.35,33,305.619606961005,1
72.62,32.05,268,0.95,28,287.810350158418,1
72.35,30.78,295,2.85,25,267.219638041192,1
72.08,29.43,290,3.05,38,283.025208594837,1
71.82,28.17,308,3.25,7,315.462764018187,1
71.55,27,350,3.35,15,274.23195758373,1
71.93,26.07,280,3.35,8,290.042008144649,1
72.22,27.25,234,3.15,17,324.873386103381,1
72.48,28.55,305,2.85,20,322.257959340664,1
72.75,29.53,296,1.65,5,317.780426112903,1
73.02,31.23,286,2.35,15,351.745303886815,1
73.28,32.55,277,1.85,11,79.2716835636433,2
73.62,34.13,294,0.95,12,82.9415937402838,2
73.67,35.18,255,1.25,10,76.0307133308286,2
73.87,34.22,305,0.55,26,113.753537338334,2
73.93,33.02,297,0.75,19,94.6722810699617,2
73.67,31.78,348,2.15,16,109.69515576251,2
73.38,30.18,350,2.45,13,145.01451763971,2
73.17,28.88,334,2.45,4,71.4702375605575,2
72.92,27.6,300,2.45,10,89.8585404606614,2
72.6,26.33,290,2.95,14,111.693850827454,2
72.28,25.17,273,3.35,18,103.583228350959,2
72.65,24.1,335,3.35,12,93.0559776376941,2
73.02,25.43,438,1.85,7,87.5002466883252,2
73.25,26.8,440,2.15,15,114.273445167505,2
73.53,28.07,382,2.15,5,79.9094372973105,2
73.8,29.42,358,1.85,9,105.756939260263,2
74.12,30.83,315,0.65,2,92.2282555959944,2
74.43,30.92,285,0.95,1,105.626281196764,2
74.33,32.15,225,0.35,0,132.070753621203,2
74.75,31.25,300,1.35,2,94.785405407865,2
75.08,31.43,347,0.55,3,63.061569937611,2
75.4,31.85,306,0.75,0,104.629417913044,2
75.72,32.1,311,1.15,5,93.3499842805604,2
75.93,33.42,272,0.35,7,97.9085374539387,2
75.73,32.55,306,0.55,3,100.727635367974,2
75.47,30.5,375,1.05,4,106.084431011812,2
75.82,30.77,327,0.95,2,121.23445383953,2
75.62,29.1,317,0.95,0,100.96270234007,2
75.62,28.05,256,0.35,0,111.257053275548,2
75.18,27.63,278,0.55,0,130.364612878002,2
75.22,29.05,342,0.85,1,243.106271928176,3
75.12,30.33,380,1.25,1,243.673088566526,3
74.8,30,384,1.05,3,243.625117613347,3
74.48,29.78,373,1.15,3,243.194778936562,3
74.17,29.48,372,1.65,3,264.872437466574,3
74.18,28.28,394,1.85,1,244.023238819927,3
74.53,28.5,395,1.35,5,200.868998169251,3
74.85,28.77,362,0.85,5,163.050058283454,3
74.92,27.35,324,1.05,6,245.759364431727,3
74.62,26.17,332,1.15,3,171.130788346133,3
74.58,27.23,379,1.05,3,214.860191973327,3
74.25,27,408,1.45,2,186.392023910921,3
73.9,26.97,415,1.55,1,227.495629918949,3
73.6,25.67,439,1.85,12,279.237096478543,3
73.32,24.28,398,2.05,14,140.968611419436,3
73.03,23.02,399,1.85,15,175.826242963887,3
73.02,21.92,434,2.05,7,217.534291547045,3
73.08,20.95,455,1.65,8,231.434585045691,3
74.27,23.98,370,1.45,10,256.621977013306,3
73.95,22.15,474,1.55,12,209.050076033334,3
73.67,20.63,486,1.65,8,192.934054926932,3
73.7,19.65,362,1.65,12,192.260078753496,3
73.75,18.55,263,1.55,14,215.087461038978,3
74.07,17.3,209,1.85,15,227.989263134188,3
74.33,16.87,215,2.35,5,174.073551935616,3
73.12,18.52,420,2.05,12,221.39378571086,3
73.12,19.7,432,1.85,11,150.990158138268,3
70.83,21.32,167,4.45,40,243.957918646992,3
73.38,17.37,462,1.95,16,212.253967102133,3
73.4,17.22,456,1.88,20,193.600264719083,3
